,beta
1131,2.892400e-01
1132,2.892449e-01
1133,2.892506e-01
1134,2.892561e-01
1135,2.892604e-01
1136,2.892647e-01
1137,2.892693e-01
1138,2.892738e-01
1139,2.892785e-01
1140,2.892830e-01
1141,2.892887e-01
1142,2.892948e-01
1143,2.893012e-01
1144,2.893075e-01
1145,2.893134e-01
1146,2.893194e-01
1147,2.893259e-01
1148,2.893328e-01
1149,2.893395e-01
1150,2.893458e-01
1151,2.893528e-01
1152,2.893603e-01
1153,2.893680e-01
1154,2.893756e-01
1155,2.893827e-01
1156,2.893887e-01
1157,2.893947e-01
1158,2.894018e-01
1159,2.894109e-01
1160,2.894200e-01
1161,2.894275e-01
1162,2.894345e-01
1163,2.894420e-01
1164,2.894510e-01
1165,2.894602e-01
1166,2.894700e-01
1167,2.894790e-01
1168,2.894886e-01
1169,2.894996e-01
1170,2.895121e-01
1171,2.895236e-01
1172,2.895355e-01
1173,2.895471e-01
1174,2.895602e-01
1175,2.895727e-01
1176,2.895868e-01
1177,2.896022e-01
1178,2.896188e-01
1179,2.896348e-01
1180,2.896535e-01
1181,2.896737e-01
1182,2.896984e-01
1183,2.897109e-01
1184,2.897389e-01
1185,2.897691e-01
1186,2.897707e-01
1187,2.897892e-01
1188,2.898250e-01
1189,2.898331e-01
1190,2.898566e-01
1191,2.898929e-01
1192,2.899167e-01
1193,2.899220e-01
1194,2.899463e-01
1195,2.899860e-01
1196,2.900180e-01
1197,2.899649e-01
1198,2.899455e-01
1199,2.899450e-01
1200,2.899706e-01
1201,2.900173e-01
1202,2.899939e-01
1203,2.899972e-01
1204,2.900207e-01
1205,2.900660e-01
1206,2.900487e-01
1207,2.899814e-01
1208,2.899421e-01
1209,2.899329e-01
1210,2.899536e-01
1211,2.899740e-01
1212,2.899943e-01
1213,2.900205e-01
1214,2.900583e-01
1215,2.900986e-01
1216,2.900940e-01
1217,2.900890e-01
1218,2.901129e-01
1219,2.901560e-01
1220,2.902024e-01
1221,2.902220e-01
1222,2.902623e-01
1223,2.903272e-01
1224,2.903995e-01
1225,2.904482e-01
1226,2.904601e-01
1227,2.904980e-01
1228,2.905675e-01
1229,2.906480e-01
1230,2.906814e-01
1231,2.907140e-01
1232,2.907785e-01
1233,2.908689e-01
1234,2.909351e-01
1235,2.909577e-01
1236,2.910097e-01
1237,2.910885e-01
1238,2.911769e-01
1239,2.912133e-01
1240,2.912708e-01
1241,2.913553e-01
1242,2.914544e-01
1243,2.915162e-01
1244,2.915770e-01
1245,2.916664e-01
1246,2.917727e-01
1247,2.918490e-01
1248,2.919276e-01
1249,2.920285e-01
1250,2.921348e-01
1251,2.922226e-01
1252,2.923194e-01
1253,2.924351e-01
1254,2.925445e-01
1255,2.926455e-01
1256,2.927628e-01
1257,2.928881e-01
1258,2.929994e-01
1259,2.931171e-01
1260,2.932518e-01
1261,2.933757e-01
1262,2.934981e-01
1263,2.936360e-01
1264,2.937798e-01
1265,2.939092e-01
1266,2.940533e-01
1267,2.942065e-01
1268,2.943505e-01
1269,2.944990e-01
1270,2.946635e-01
1271,2.948133e-01
1272,2.949694e-01
1273,2.951334e-01
1274,2.952887e-01
1275,2.954475e-01
1276,2.956140e-01
1277,2.957691e-01
1278,2.959400e-01
1279,2.961011e-01
1280,2.962762e-01
1281,2.964293e-01
1282,2.966186e-01
1283,2.967368e-01
1284,2.969032e-01
1285,2.970706e-01
1286,2.972121e-01
1287,2.973617e-01
1288,2.975172e-01
1289,2.976973e-01
1290,2.978160e-01
1291,2.979507e-01
1292,2.981179e-01
1293,2.982441e-01
1294,2.983644e-01
1295,2.985130e-01
1296,2.986513e-01
1297,2.987779e-01
1298,2.989159e-01
1299,2.990480e-01
1300,2.991876e-01
1301,2.993231e-01
1302,2.994421e-01
1303,2.995864e-01
1304,2.997259e-01
1305,2.998436e-01
1306,2.999873e-01
1307,3.001399e-01
1308,3.002671e-01
1309,3.004232e-01
1310,3.005796e-01
1311,3.007188e-01
1312,3.008776e-01
1313,3.010454e-01
1314,3.012047e-01
1315,3.013833e-01
1316,3.015585e-01
1317,3.017285e-01
1318,3.019082e-01
1319,3.020879e-01
1320,3.022548e-01
1321,3.024350e-01
1322,3.026135e-01
1323,3.027878e-01
1324,3.029733e-01
1325,3.031529e-01
1326,3.033358e-01
1327,3.035202e-01
1328,3.036944e-01
1329,3.038783e-01
1330,3.040591e-01
1331,3.042305e-01
1332,3.044115e-01
1333,3.045920e-01
1334,3.047611e-01
1335,3.049439e-01
1336,3.051216e-01
1337,3.052932e-01
1338,3.054770e-01
1339,3.056584e-01
1340,3.058362e-01
1341,3.060215e-01
1342,3.062070e-01
1343,3.063912e-01
1344,3.065763e-01
1345,3.067620e-01
1346,3.069449e-01
1347,3.071274e-01
1348,3.073128e-01
1349,3.074966e-01
1350,3.076798e-01
1351,3.078629e-01
1352,3.080503e-01
1353,3.082367e-01
1354,3.084236e-01
1355,3.086140e-01
1356,3.088020e-01
1357,3.089903e-01
1358,3.091810e-01
1359,3.093628e-01
1360,3.095487e-01
