,L_pde,L_ic,L_data,L_total
695,1.056363e-07,5.735404e-09,3.528196e-07,4.641913e-07
696,8.018809e-08,6.561457e-11,2.718202e-06,2.798456e-06
697,1.155968e-07,1.329048e-09,4.485368e-06,4.602294e-06
698,4.116750e-06,3.830860e-09,2.293323e-05,2.705381e-05
699,3.911304e-06,3.744468e-07,1.108736e-05,1.537311e-05
700,1.522521e-06,6.036790e-08,3.341756e-05,3.500045e-05
701,2.058079e-05,1.423381e-06,7.686226e-06,2.969040e-05
702,1.550384e-06,4.225217e-08,2.159458e-05,2.318721e-05
703,6.853952e-07,7.210713e-08,3.597763e-06,4.355265e-06
704,1.176032e-07,2.287895e-08,1.629434e-06,1.769916e-06
705,1.087506e-07,5.923969e-07,9.166326e-07,1.617780e-06
706,8.346376e-08,8.506569e-10,2.286439e-07,3.129583e-07
707,1.366582e-07,1.674064e-06,1.994394e-06,3.805116e-06
708,8.319923e-08,3.345459e-09,3.999907e-07,4.865354e-07
709,7.278992e-08,7.726013e-09,5.791870e-07,6.597029e-07
710,1.053221e-07,6.186980e-09,3.119163e-07,4.234254e-07
711,1.718706e-07,2.774123e-08,4.631028e-06,4.830640e-06
712,1.043230e-07,8.638473e-09,9.558776e-07,1.068839e-06
713,2.934095e-07,7.791908e-08,1.027493e-05,1.064626e-05
714,1.387503e-06,1.299776e-08,5.908816e-05,6.048866e-05
715,2.477954e-05,1.859034e-06,2.656908e-03,2.683546e-03
716,4.061539e-06,1.507830e-07,5.512702e-05,5.933935e-05
717,2.602850e-07,1.011109e-09,4.034692e-05,4.060822e-05
718,8.372372e-07,5.447911e-11,8.726835e-06,9.564127e-06
719,5.513955e-07,1.652337e-10,3.181013e-06,3.732574e-06
720,4.829346e-07,3.906625e-09,2.629914e-05,2.678598e-05
721,7.163303e-06,1.387491e-07,2.211828e-04,2.284849e-04
722,1.995655e-05,7.518994e-08,1.330366e-04,1.530683e-04
723,6.460519e-07,2.582932e-08,1.071096e-05,1.138285e-05
724,1.627927e-07,1.766264e-07,1.719441e-06,2.058860e-06
725,1.107780e-07,1.074643e-09,6.657411e-07,7.775938e-07
726,2.213608e-07,4.661865e-08,4.013973e-06,4.281952e-06
727,1.388642e-07,7.770157e-09,1.594137e-06,1.740772e-06
728,8.344549e-08,2.040669e-07,3.123624e-07,5.998747e-07
729,7.224086e-08,1.656743e-09,2.497955e-07,3.236931e-07
730,6.975070e-08,5.833928e-09,5.197128e-07,5.952975e-07
731,1.107212e-07,1.894060e-09,1.671205e-07,2.797358e-07
732,6.181837e-08,8.329570e-11,7.060721e-07,7.679738e-07
733,2.180439e-07,2.623935e-06,5.019689e-06,7.861668e-06
734,6.185732e-06,8.041231e-07,3.787065e-04,3.856963e-04
735,4.505468e-06,3.010410e-07,4.935739e-05,5.416390e-05
736,5.538032e-06,1.910051e-07,6.888501e-06,1.261754e-05
737,2.939232e-07,2.684334e-07,4.470146e-06,5.032503e-06
738,1.251947e-07,5.877179e-08,1.271279e-06,1.455245e-06
739,1.781436e-07,9.004411e-09,2.343106e-06,2.530254e-06
740,1.243136e-07,3.237157e-09,3.619497e-07,4.895005e-07
741,7.668180e-08,3.949526e-08,4.457539e-07,5.619310e-07
742,6.742519e-07,2.432749e-09,1.255107e-05,1.322775e-05
743,1.607976e-06,1.691872e-10,1.676858e-06,3.285003e-06
744,5.894428e-07,7.599114e-08,5.912888e-06,6.578322e-06
745,2.299374e-07,5.662777e-09,2.718561e-06,2.954162e-06
746,1.539609e-07,9.972534e-10,3.591619e-06,3.746577e-06
747,4.139529e-05,2.145790e-07,6.860053e-06,4.846992e-05
748,2.135964e-06,8.558904e-08,1.741999e-04,1.764215e-04
749,8.706316e-06,6.592451e-07,9.523445e-05,1.046000e-04
750,7.436915e-07,1.856343e-08,3.070965e-05,3.147190e-05
751,1.624802e-06,4.160557e-08,9.287571e-06,1.095398e-05
752,6.617103e-07,3.586391e-08,3.303894e-05,3.373651e-05
753,2.068835e-07,5.151783e-07,6.340189e-06,7.062251e-06
754,1.829627e-06,1.006746e-07,6.311423e-05,6.504454e-05
755,6.985890e-07,2.682133e-08,2.424844e-05,2.497386e-05
