,beta
1245,5.879719e-01
1246,5.881454e-01
1247,5.880841e-01
1248,5.881279e-01
1249,5.882432e-01
1250,5.881966e-01
1251,5.881411e-01
1252,5.882400e-01
1253,5.883556e-01
1254,5.882697e-01
1255,5.883462e-01
1256,5.884554e-01
1257,5.885068e-01
1258,5.885784e-01
1259,5.886711e-01
1260,5.887748e-01
1261,5.888488e-01
1262,5.889876e-01
1263,5.890951e-01
1264,5.891886e-01
1265,5.893220e-01
1266,5.893991e-01
1267,5.894939e-01
1268,5.896023e-01
1269,5.896866e-01
1270,5.897553e-01
1271,5.898324e-01
1272,5.899621e-01
1273,5.900489e-01
1274,5.900927e-01
1275,5.901345e-01
1276,5.902089e-01
1277,5.902430e-01
1278,5.903013e-01
1279,5.903133e-01
1280,5.903466e-01
1281,5.903961e-01
1282,5.904377e-01
1283,5.904831e-01
1284,5.905296e-01
1285,5.905913e-01
1286,5.906143e-01
1287,5.906562e-01
1288,5.906884e-01
1289,5.907428e-01
1290,5.907952e-01
1291,5.908290e-01
1292,5.908775e-01
1293,5.909210e-01
1294,5.909555e-01
1295,5.910267e-01
1296,5.910341e-01
1297,5.910659e-01
1298,5.911465e-01
1299,5.911357e-01
1300,5.911936e-01
1301,5.912435e-01
1302,5.912872e-01
1303,5.913398e-01
1304,5.913773e-01
1305,5.914531e-01
1306,5.914867e-01
1307,5.915280e-01
1308,5.915581e-01
1309,5.916090e-01
1310,5.916603e-01
1311,5.916937e-01
1312,5.917423e-01
1313,5.917795e-01
1314,5.918353e-01
1315,5.918750e-01
1316,5.919291e-01
1317,5.919690e-01
1318,5.920006e-01
1319,5.920694e-01
1320,5.920969e-01
1321,5.921424e-01
1322,5.921925e-01
1323,5.922031e-01
1324,5.922539e-01
1325,5.923212e-01
1326,5.923608e-01
1327,5.924022e-01
1328,5.924685e-01
1329,5.924621e-01
1330,5.925189e-01
1331,5.925843e-01
1332,5.926312e-01
1333,5.926613e-01
1334,5.927010e-01
1335,5.927025e-01
1336,5.927512e-01
1337,5.928211e-01
1338,5.928414e-01
1339,5.928936e-01
1340,5.928752e-01
1341,5.929252e-01
1342,5.929952e-01
1343,5.930341e-01
1344,5.930113e-01
1345,5.930567e-01
1346,5.930756e-01
1347,5.930758e-01
1348,5.931205e-01
1349,5.931846e-01
1350,5.932185e-01
1351,5.932872e-01
1352,5.933282e-01
1353,5.933451e-01
1354,5.933739e-01
1355,5.934249e-01
1356,5.934846e-01
1357,5.935229e-01
1358,5.935350e-01
1359,5.935781e-01
1360,5.936252e-01
